,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
3--2--2--3,1248.0,1012.0,991.0,971.0,997.0,949.0,981.0,986.0,954.0,21524.0
3--2--3--0,992.0,917.0,915.0,934.0,912.0,938.0,913.0,2488.0,18632.0,954.0
3--2--3--1,236.0,234.0,223.0,196.0,213.0,211.0,231.0,5163.0,224.0,226.0
3--2--3--2,1749.0,927.0,959.0,841.0,902.0,898.0,916.0,19106.0,928.0,831.0
3--2--3--3,190.0,225.0,236.0,204.0,215.0,216.0,230.0,2415.0,220.0,2595.0
3--3--0--0,1562.0,1631.0,1601.0,1568.0,1774.0,15423.0,18726.0,1630.0,1650.0,1612.0
3--3--0--1,18.0,2.0,5.0,3.0,34.0,2.0,4.0,2.0,2.0,6.0
3--3--0--2,6.0,2.0,2.0,8.0,6.0,96.0,8.0,5.0,8.0,19.0
3--3--0--3,4.0,2.0,6.0,4.0,0.0,2.0,3.0,1.0,54.0,2.0
3--3--1--0,197.0,183.0,206.0,173.0,4773.0,196.0,170.0,206.0,189.0,176.0
3--3--1--1,44.0,40.0,37.0,43.0,993.0,37.0,37.0,43.0,55.0,47.0
3--3--1--2,233.0,228.0,193.0,200.0,206.0,181.0,208.0,186.0,4594.0,195.0
3--3--1--3,54.0,55.0,45.0,28.0,54.0,51.0,36.0,53.0,47.0,1105.0
3--3--2--0,1492.0,1411.0,1452.0,1394.0,28650.0,1348.0,1384.0,1416.0,1439.0,1393.0
3--3--2--1,266.0,197.0,168.0,189.0,289.0,173.0,169.0,190.0,4032.0,175.0
3--3--2--2,1439.0,1414.0,1527.0,1455.0,29522.0,1438.0,1353.0,1413.0,1373.0,1449.0
3--3--2--3,197.0,204.0,203.0,198.0,198.0,199.0,191.0,233.0,227.0,4647.0
3--3--3--0,188.0,175.0,190.0,177.0,274.0,182.0,177.0,2505.0,1860.0,186.0
3--3--3--1,47.0,44.0,50.0,52.0,1003.0,42.0,44.0,87.0,47.0,36.0
3--3--3--2,196.0,178.0,169.0,195.0,213.0,160.0,195.0,4380.0,172.0,171.0
3--3--3--3,36.0,54.0,44.0,26.0,32.0,42.0,32.0,50.0,42.0,982.0
