,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--3--0--3,1.071,0,11.858,0.22,0,10.347,1.46,1.535,0,0,,5,0,5,3,0,2,8,1,0,0,,5.36,0.00,59.29,0.66,0.00,20.69,11.68,1.54,0.00,0.00
0--3--1--0,0.534,0,2.312,4.713,13.757,4.272,4.993,3.957,5.776,0.163,,1,0,4,1,26,1,2,1,1,1,,0.53,0.00,9.25,4.71,357.68,4.27,9.99,3.96,5.78,0.16
0--3--1--1,0,0,0,4.737,0,0,0,0,0,0,,0,0,0,4,0,0,0,0,0,0,,0.00,0.00,0.00,18.95,0.00,0.00,0.00,0.00,0.00,0.00
0--3--1--2,0,12.893,2.945,0,0,2.111,0,2.904,0,0,,0,7,3,0,0,3,0,1,0,0,,0.00,90.25,8.84,0.00,0.00,6.33,0.00,2.90,0.00,0.00
0--3--1--3,0,0,2.534,1.759,0,-4.652,0,0,0,0,,0,0,2,3,0,1,0,0,0,0,,0.00,0.00,5.07,5.28,0.00,-4.65,0.00,0.00,0.00,0.00
0--3--2--0,2.689,0,3.478,3.353,13.406,3.228,4.167,6.929,10.192,4.336,,6,0,4,3,106,1,3,7,2,6,,16.13,0.00,13.91,10.06,1421.04,3.23,12.50,48.50,20.38,26.02
0--3--2--1,0.686,0,2.631,1.74,0,0,-1.458,8.013,9.535,0,,2,0,1,2,0,0,1,3,13,0,,1.37,0.00,2.63,3.48,0.00,0.00,-1.46,24.04,123.96,0.00
0--3--2--2,-0.679,10.719,-0.691,1.252,11.622,0.699,-0.149,7.038,0.838,4.267,,3,57,1,8,48,7,4,8,3,2,,-2.04,610.98,-0.69,10.02,557.86,4.89,-0.60,56.30,2.51,8.53
0--3--2--3,3.742,0,2.18,0,0,0.095,0,0,1.481,5.126,,1,0,4,0,0,2,0,0,1,17,,3.74,0.00,8.72,0.00,0.00,0.19,0.00,0.00,1.48,87.14
0--3--3--0,0,0,0,0,0,0,0,10.207,0,2.753,,0,0,0,0,0,0,0,6,0,1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.24,0.00,2.75
0--3--3--1,0,0,0,2.19,0,0,0,10.858,0,0,,0,0,0,1,0,0,0,8,0,0,,0.00,0.00,0.00,2.19,0.00,0.00,0.00,86.86,0.00,0.00
0--3--3--2,1.912,0,0,3.568,11.624,0,-4.92,0,0,4.571,,1,0,0,1,9,0,1,0,0,6,,1.91,0.00,0.00,3.57,104.62,0.00,-4.92,0.00,0.00,27.43
0--3--3--3,0,0,0,0,0,0.385,0,0,-1.561,0,,0,0,0,0,0,3,0,0,2,0,,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,-3.12,0.00
1--0--0--0,10.387,10.312,10.72,10.76,5.165,5.321,6.534,7.852,3.879,5.719,,65,39,59,9,6,5,11,10,4,9,,675.16,402.17,632.48,96.84,30.99,26.61,71.87,78.52,15.52,51.47
1--0--0--1,0,7.403,0,0,0,5.991,7.461,3.855,0,0,,0,1,0,0,0,1,17,2,0,0,,0.00,7.40,0.00,0.00,0.00,5.99,126.84,7.71,0.00,0.00
1--0--0--2,8.302,7.694,8.494,12.412,3.173,4.172,7.484,3.817,9.031,8.149,,21,16,14,359,15,18,15,19,18,33,,174.34,123.10,118.92,4455.91,47.60,75.10,112.26,72.52,162.56,268.92
1--0--0--3,0,5.986,0,0,2.922,-2.477,9.745,1.032,0,8.366,,0,9,0,0,1,1,2,2,0,2,,0.00,53.87,0.00,0.00,2.92,-2.48,19.49,2.06,0.00,16.73
1--0--1--0,0,6.478,12.246,0,1.312,0,0,4.601,7.777,6.203,,0,2,20,0,1,0,0,2,13,1,,0.00,12.96,244.92,0.00,1.31,0.00,0.00,9.20,101.10,6.20
