,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
3--2--3--1,3224.0,145.0,162.0,140.0,130.0,140.0,151.0,160.0,137.0,122.0
3--2--3--2,13525.0,606.0,643.0,619.0,617.0,599.0,582.0,631.0,573.0,586.0
3--2--3--3,3192.0,125.0,131.0,132.0,136.0,122.0,133.0,152.0,139.0,144.0
3--3--0--0,23328.0,1001.0,1047.0,1070.0,1039.0,1035.0,1028.0,1044.0,1090.0,1085.0
3--3--0--1,2818.0,119.0,114.0,140.0,130.0,119.0,133.0,110.0,121.0,111.0
3--3--0--2,42683.0,2287.0,2228.0,2247.0,2232.0,2173.0,2226.0,2195.0,2211.0,2206.0
3--3--0--3,2435.0,114.0,114.0,111.0,112.0,122.0,128.0,95.0,93.0,111.0
3--3--1--0,4223.0,190.0,177.0,179.0,181.0,173.0,195.0,159.0,182.0,163.0
3--3--1--1,607.0,28.0,22.0,25.0,28.0,20.0,33.0,31.0,23.0,27.0
3--3--1--2,2476.0,104.0,106.0,120.0,114.0,97.0,102.0,96.0,94.0,106.0
3--3--1--3,704.0,28.0,31.0,35.0,37.0,33.0,37.0,44.0,34.0,41.0
3--3--2--0,16543.0,757.0,779.0,726.0,748.0,724.0,730.0,778.0,773.0,703.0
3--3--2--1,2220.0,87.0,73.0,88.0,87.0,95.0,96.0,110.0,91.0,83.0
3--3--2--2,15121.0,664.0,705.0,635.0,775.0,618.0,695.0,634.0,687.0,683.0
3--3--2--3,2931.0,135.0,120.0,129.0,136.0,114.0,110.0,104.0,122.0,101.0
3--3--3--0,1276.0,73.0,51.0,58.0,84.0,60.0,48.0,53.0,49.0,57.0
3--3--3--1,671.0,16.0,16.0,23.0,21.0,27.0,28.0,21.0,31.0,31.0
3--3--3--2,2871.0,110.0,123.0,109.0,141.0,132.0,124.0,134.0,113.0,102.0
3--3--3--3,625.0,19.0,23.0,30.0,72.0,28.0,26.0,25.0,27.0,25.0
